# Eestikeelsed nimetused SPECHURT-i feedi kohta.
# Vorming: tyyp;votme;nimi;kirjeldus
tyyp;votme;nimi;kirjeldus
toode;SP-1162;Mõõdulint 5 m magnetiga CLASSIC;"<p>Mõõdulint lindilukuga ja magnetiga otsakinnitusel. Kummeeritud korpus, vöökinnitus. Pikkus 5 m, laius 25 mm.</p>"
toode;SP-1163;Mõõdulint 5 m magnetiga PRO;"<p>Mõõdulint lindilukuga ja magnetiga otsakinnitusel. Kummeeritud korpus, vöökinnitus. Pikkus 5 m, laius 25 mm.</p>"
kategooria;Miary i poziomice;Mõõdulindid ja loodid;
toode;SP-1171;Akutrell-kruvikeeraja 18V 2x2.0Ah;"<p>18 V akutrell-kruvikeeraja pöördemomendiga 45 Nm. Komplektis kaks 2.0 Ah akut, laadija ja kohver. Kaheastmeline käigukast, LED-valgusti.</p>"
toode;SP-1172;Akutrell-kruvikeeraja 18V 2x2.0Ah CLASSIC;"<p>18 V akutrell-kruvikeeraja pöördemomendiga 45 Nm. Komplektis kaks 2.0 Ah akut, laadija ja kohver. Kaheastmeline käigukast, LED-valgusti.</p>"
toode;SP-1173;Akutrell-kruvikeeraja 18V 2x2.0Ah PRO;"<p>18 V akutrell-kruvikeeraja pöördemomendiga 45 Nm. Komplektis kaks 2.0 Ah akut, laadija ja kohver. Kaheastmeline käigukast, LED-valgusti.</p>"
kategooria;Elektronarzędzia;Elektritööriistad;
kategooria;Wiertarki;Trellid;
toode;SP-1181;Nurklihvija 125 mm 900 W;"<p>900 W nurklihvija ketta läbimõõduga 125 mm. Spindlilukk kiireks kettavahetuseks, reguleeritav kettakaitse.</p>"
toode;SP-1182;Nurklihvija 125 mm 900 W CLASSIC;"<p>900 W nurklihvija ketta läbimõõduga 125 mm. Spindlilukk kiireks kettavahetuseks, reguleeritav kettakaitse.</p>"
toode;SP-1183;Nurklihvija 125 mm 900 W PRO;"<p>900 W nurklihvija ketta läbimõõduga 125 mm. Spindlilukk kiireks kettavahetuseks, reguleeritav kettakaitse.</p>"
toode;SP-1184;Nurklihvija 125 mm 900 W ECO;"<p>900 W nurklihvija ketta läbimõõduga 125 mm. Spindlilukk kiireks kettavahetuseks, reguleeritav kettakaitse.</p>"
kategooria;Szlifierki;Lihvijad;
toode;SP-1191;Metallilõikekettad 125 mm 10 tk;"<p>Metallilõikekettad paksusega 1,0 mm, läbimõõt 125 mm. Pakis 10 tükki.</p>"
toode;SP-1192;Metallilõikekettad 125 mm 10 tk CLASSIC;"<p>Metallilõikekettad paksusega 1,0 mm, läbimõõt 125 mm. Pakis 10 tükki.</p>"
kategooria;Akcesoria;Tarvikud;
